cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,two_domain_any_n,two_domain_any_events,two_domain_any_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,direction_expansion_n,direction_expansion_events,direction_expansion_nonevents,direction_mixed_n,direction_mixed_events,direction_mixed_nonevents,direction_contraction_1_n,direction_contraction_1_events,direction_contraction_1_nonevents,direction_contraction_2_plus_n,direction_contraction_2_plus_events,direction_contraction_2_plus_nonevents
hrs,incident_heart_disease,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,21,21,13240.0,727.0,12513.0,PASS,,any_withdrawal,risk_ratio,0.9386987475823099,0.07462346889409842,0.8109734317413431,1.086540328233143,0.39658745495456404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_heart_disease,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,21,21,,,,PASS,,two_domain_any,risk_ratio,0.9069021623401634,0.0791102610344805,0.7766434092999616,1.0590079336392106,0.21673863161673546,9588.0,552.0,9036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_heart_disease,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,23,23,,,,PASS,,alcohol_loss,risk_ratio,1.0521481970526831,0.09283860405608658,0.8771069500074337,1.2621218296717744,0.5839994612466287,,,,3515.0,217.0,3298.0,6600.0,364.0,6236.0,4469.0,231.0,4238.0,,,,,,,,,,,,,,,,,,
hrs,incident_heart_disease,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,23,23,,,,PASS,,activity_loss,risk_ratio,0.7708125101409691,0.09391366490508497,0.6412233047585613,0.9265912847842243,0.005574688253943665,,,,3515.0,217.0,3298.0,6600.0,364.0,6236.0,4469.0,231.0,4238.0,,,,,,,,,,,,,,,,,,
hrs,incident_heart_disease,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,23,23,,,,PASS,,work_loss,risk_ratio,1.0558491238229695,0.08724346268621361,0.889897719435347,1.2527477573322694,0.5333400914746989,,,,3515.0,217.0,3298.0,6600.0,364.0,6236.0,4469.0,231.0,4238.0,,,,,,,,,,,,,,,,,,
hrs,incident_heart_disease,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,22,22,,,,PASS,,loss_1,risk_ratio,0.9479790838736556,0.07639349333632581,0.8161547184989761,1.1010955681475518,0.4843574473048623,,,,,,,,,,,,,11959.0,644.0,11315.0,1281.0,83.0,1198.0,,,,,,,,,,,,
hrs,incident_heart_disease,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,22,22,,,,PASS,,loss_2plus,risk_ratio,1.0193793849176807,0.1638899085099375,0.7393200828165435,1.4055269896584186,0.9067687814722174,,,,,,,,,,,,,11959.0,644.0,11315.0,1281.0,83.0,1198.0,,,,,,,,,,,,
hrs,incident_heart_disease,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,24,24,,,,PASS,,direction_expansion,risk_ratio,1.089306627857339,0.22132537761485074,0.705923505583083,1.6809029875182029,0.6991293662856599,,,,,,,,,,,,,,,,,,,5486.0,233.0,5253.0,1665.0,76.0,1589.0,10382.0,572.0,9810.0,1193.0,79.0,1114.0
hrs,incident_heart_disease,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,24,24,,,,PASS,,direction_mixed,risk_ratio,0.9204293754165906,0.11657433123685011,0.7324234152239971,1.156694635261871,0.4769212919230559,,,,,,,,,,,,,,,,,,,5486.0,233.0,5253.0,1665.0,76.0,1589.0,10382.0,572.0,9810.0,1193.0,79.0,1114.0
hrs,incident_heart_disease,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,24,24,,,,PASS,,direction_contraction_1,risk_ratio,0.896101425061733,0.21022620607854456,0.593488484794398,1.353013216888026,0.6017909069015862,,,,,,,,,,,,,,,,,,,5486.0,233.0,5253.0,1665.0,76.0,1589.0,10382.0,572.0,9810.0,1193.0,79.0,1114.0
hrs,incident_heart_disease,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,24,24,,,,PASS,,direction_contraction_2_plus,risk_ratio,0.9043039004859696,0.4381949573534116,0.38310884614020385,2.134551453648413,0.8184376513634781,,,,,,,,,,,,,,,,,,,5486.0,233.0,5253.0,1665.0,76.0,1589.0,10382.0,572.0,9810.0,1193.0,79.0,1114.0
hrs,incident_heart_disease,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,18,18,13240.0,727.0,12513.0,PASS,,any_withdrawal,risk_ratio,1.119629229025075,0.04408697827718893,1.0269453285239363,1.2206780396859902,0.010375401878681958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_heart_disease,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,18,18,,,,PASS,,two_domain_any,risk_ratio,1.0879410355538903,0.047866109673874564,0.9905163567616163,1.1949481588691497,0.07825703044084656,9588.0,552.0,9036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_heart_disease,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,20,20,,,,PASS,,alcohol_loss,risk_ratio,1.2111247535293466,0.06917773253742704,1.0575592004791585,1.3869891803191088,0.0056237779607706435,,,,3515.0,217.0,3298.0,6600.0,364.0,6236.0,4469.0,231.0,4238.0,,,,,,,,,,,,,,,,,,
hrs,incident_heart_disease,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,20,20,,,,PASS,,activity_loss,risk_ratio,1.0055030614719065,0.055934944862661685,0.9010968797528647,1.1220063339989192,0.9218421431109025,,,,3515.0,217.0,3298.0,6600.0,364.0,6236.0,4469.0,231.0,4238.0,,,,,,,,,,,,,,,,,,
hrs,incident_heart_disease,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,47072,14864,2312,44760,20,20,,,,PASS,,work_loss,risk_ratio,1.2454513092706094,0.0697791979476913,1.0862520086860599,1.427982596451222,0.001657423266557036,,,,3515.0,217.0,3298.0,6600.0,364.0,6236.0,4469.0,231.0,4238.0,,,,,,,,,,,,,,,,,,
hrs,incident_hypertension,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,23819,8134,2268,21551,21,21,6086.0,641.0,5445.0,PASS,,any_withdrawal,risk_ratio,1.1387763071069557,0.07231869832110653,0.9882814305585188,1.312188449089116,0.0723409538751465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_hypertension,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,23819,8134,2268,21551,21,21,,,,PASS,,two_domain_any,risk_ratio,1.0296856436474073,0.07951690644852016,0.8810889287171441,1.203343374518724,0.7129545011297508,4244.0,467.0,3777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
