cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_id,model_status,metric,estimate,ci_low,ci_high,bootstrap_replicates,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M1_withdrawal,PASS,c_statistic,0.6554670108127755,0.6352467017604603,0.6727570399749808,500,,,
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M1_withdrawal,PASS,brier_score,0.020754744659102414,0.01922417194435045,0.022483295460429507,500,,,
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M2_fried,PASS,c_statistic,0.6629979485179041,0.643498953496577,0.6814101783440398,500,,,
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M2_fried,PASS,brier_score,0.020739126495173545,0.019208620339325466,0.02247070162648729,500,,,
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M3_fried_withdrawal,PASS,c_statistic,0.6617342288886905,0.6422367187086054,0.680076603271516,500,,,
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M3_fried_withdrawal,PASS,brier_score,0.020739826216880485,0.019210733173089505,0.022471961776249,500,,,
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M1_withdrawal_minus_M0_routine,PASS,delta_c_statistic,-0.001284183535191663,-0.002237130012476099,-0.00031322837584389645,500,,,
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M1_withdrawal_minus_M0_routine,PASS,delta_brier_score,4.24180215119474e-07,-3.349531101985801e-06,3.980079118589846e-06,500,,,
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M2_fried_minus_M0_routine,PASS,delta_c_statistic,0.006246754169936919,-0.0003578586685454521,0.013066067463218943,500,,,
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M2_fried_minus_M0_routine,PASS,delta_brier_score,-1.5193983713749498e-05,-3.6612328281799505e-05,4.774374143381998e-06,500,,,
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M3_fried_withdrawal_minus_M0_routine,PASS,delta_c_statistic,0.004983034540723352,-0.001752015312816496,0.011750647231919676,500,,,
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M3_fried_withdrawal_minus_M0_routine,PASS,delta_brier_score,-1.4494262006808922e-05,-3.777759343751652e-05,5.686410460349095e-06,500,,,
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M3_fried_withdrawal_minus_M2_fried,PASS,delta_c_statistic,-0.0012637196292135666,-0.0021744927243102117,-0.0003512870623201027,500,,,
share,incident_stroke,head_to_head_cv,31291,22245,667,30624,21,21,13420,333,13087,2354,109,2245,7426.0,190.0,7236.0,792.0,25.0,767.0,M3_fried_withdrawal_minus_M2_fried,PASS,delta_brier_score,6.997217069405759e-07,-3.35409166934697e-06,4.535790661515208e-06,500,,,
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M0_routine,PASS,c_statistic,0.6567511943479671,0.6372687512514768,0.6745086910888985,500,8218.0,215.0,8003.0
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M0_routine,PASS,brier_score,0.020754320478887294,0.01922300188542155,0.02248273708760808,500,8218.0,215.0,8003.0
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M1b_any_withdrawal,PASS,c_statistic,0.6555061761830684,0.6354516730295603,0.6727204353183317,500,8218.0,215.0,8003.0
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M1b_any_withdrawal,PASS,brier_score,0.020755240190964058,0.019224148703542804,0.022484153490859936,500,8218.0,215.0,8003.0
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M2_fried,PASS,c_statistic,0.6629979485179041,0.643498953496577,0.6814101783440398,500,8218.0,215.0,8003.0
