cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,two_domain_any_n,two_domain_any_events,two_domain_any_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,direction_expansion_n,direction_expansion_events,direction_expansion_nonevents,direction_mixed_n,direction_mixed_events,direction_mixed_nonevents,direction_contraction_1_n,direction_contraction_1_events,direction_contraction_1_nonevents,direction_contraction_2_plus_n,direction_contraction_2_plus_events,direction_contraction_2_plus_nonevents
share,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,17,17,,,,PASS,,activity_loss,risk_ratio,1.4650419746734107,0.08981327132464434,1.2285727337801278,1.747025575727199,2.1189236662792384e-05,,,,3254.0,111.0,3143.0,2956.0,151.0,2805.0,2437.0,65.0,2372.0,,,,,,,,,,,,,,,,,,
share,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,17,17,,,,PASS,,work_loss,risk_ratio,1.187517641613392,0.1382186534523914,0.905707864910799,1.557012149035406,0.2137097070639561,,,,3254.0,111.0,3143.0,2956.0,151.0,2805.0,2437.0,65.0,2372.0,,,,,,,,,,,,,,,,,,
share,incident_stroke,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,18,18,8836.0,243.0,8593.0,PASS,,any_withdrawal,risk_ratio,1.0904733852769843,0.14108293675327863,0.8270372236684985,1.4378218657714086,0.5392763255646031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_stroke,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,18,18,,,,PASS,,two_domain_any,risk_ratio,1.110172027224668,0.1468830660663907,0.8324596417915684,1.4805305484595712,0.476742056596444,6599.0,204.0,6395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_stroke,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,20,20,,,,PASS,,alcohol_loss,risk_ratio,1.1543232023876275,0.15645992827350402,0.8494708742846478,1.5685788599785881,0.3590071945751122,,,,3629.0,101.0,3528.0,3437.0,124.0,3313.0,2667.0,47.0,2620.0,,,,,,,,,,,,,,,,,,
share,incident_stroke,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,20,20,,,,PASS,,activity_loss,risk_ratio,1.2400151396078747,0.24621802659667477,0.7653248646916275,2.0091305240373933,0.3822752371409821,,,,3629.0,101.0,3528.0,3437.0,124.0,3313.0,2667.0,47.0,2620.0,,,,,,,,,,,,,,,,,,
share,incident_stroke,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,20,20,,,,PASS,,work_loss,risk_ratio,0.9998347999308133,0.18924263568295885,0.6899929050401155,1.4488114585679248,0.9993034262274733,,,,3629.0,101.0,3528.0,3437.0,124.0,3313.0,2667.0,47.0,2620.0,,,,,,,,,,,,,,,,,,
share,incident_stroke,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,19,19,,,,PASS,,loss_1,risk_ratio,1.1006161307104334,0.1462982183464655,0.8262407383502539,1.4661052293290542,0.5122705757029979,,,,,,,,,,,,,7973.0,216.0,7757.0,863.0,27.0,836.0,,,,,,,,,,,,
share,incident_stroke,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,19,19,,,,PASS,,loss_2plus,risk_ratio,1.1575370237746527,0.3046201879018789,0.6371500430213094,2.1029457285373963,0.6310481268580486,,,,,,,,,,,,,7973.0,216.0,7757.0,863.0,27.0,836.0,,,,,,,,,,,,
share,incident_stroke,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,21,21,,,,PASS,,direction_expansion,risk_ratio,1.594582071335894,0.43969304284680005,0.6735649504613204,3.7749766826263693,0.28858928466280265,,,,,,,,,,,,,,,,,,,3726.0,72.0,3654.0,880.0,23.0,857.0,7124.0,193.0,6931.0,832.0,27.0,805.0
