cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status
charls,incident_cancer,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,21,0,NOT_EVALUABLE_CLUSTERS
charls,incident_arthritis,clinical_context,base_same_set_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,711,711,21,690,15,15,NOT_EVALUABLE_EPV
charls,incident_arthritis,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,711,711,21,690,16,16,NOT_EVALUABLE_EPV
charls,incident_arthritis,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,692,692,21,671,15,15,NOT_EVALUABLE_EPV
charls,incident_arthritis,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,692,692,21,671,16,16,NOT_EVALUABLE_EPV
charls,incident_arthritis,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,579,579,17,562,15,15,NOT_EVALUABLE_EPV
charls,incident_arthritis,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,579,579,17,562,16,16,NOT_EVALUABLE_EPV
charls,incident_arthritis,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,705,705,22,683,15,15,NOT_EVALUABLE_EPV
charls,incident_arthritis,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,705,705,22,683,16,16,NOT_EVALUABLE_EPV
charls,incident_arthritis,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS
charls,incident_arthritis,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS
charls,incident_arthritis,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS
charls,incident_arthritis,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,21,0,NOT_EVALUABLE_CLUSTERS
