cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_id,model_status,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,metric,estimate,ci_low,ci_high,bootstrap_replicates
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M3b_fried_any_withdrawal,PASS,1482.0,161.0,1321.0,c_statistic,0.5705096509997235,0.5461886555952693,0.5939241724910331,500.0
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M3b_fried_any_withdrawal,PASS,1482.0,161.0,1321.0,brier_score,0.08862797993181187,0.08338790257490683,0.09440220007054884,500.0
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,1482.0,161.0,1321.0,delta_c_statistic,0.001344464343983609,-0.0031175407495219465,0.0062943481209298754,500.0
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,1482.0,161.0,1321.0,delta_brier_score,-4.838552914832039e-06,-0.00011236339689710273,9.966935079225163e-05,500.0
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M2_fried_minus_M0_routine,PASS,1482.0,161.0,1321.0,delta_c_statistic,0.0001815244818300643,-0.004921506423756774,0.005231113475976275,500.0
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M2_fried_minus_M0_routine,PASS,1482.0,161.0,1321.0,delta_brier_score,-3.899891316730408e-06,-0.0001020996929422275,9.251347775824575e-05,500.0
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,1482.0,161.0,1321.0,delta_c_statistic,0.001028431155205567,-0.005870974535723536,0.008672745222019038,500.0
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,1482.0,161.0,1321.0,delta_brier_score,-1.8670749980506662e-05,-0.0001701003266666435,0.00013174962598899232,500.0
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,1482.0,161.0,1321.0,delta_c_statistic,0.0008469066733755026,-0.003694776254158302,0.005514154563452386,500.0
hrs,incident_hypertension,head_to_head_cv_binary_flag,6009,3956,593,5416,22,22,2384,267,2117,242,29,213,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,1482.0,161.0,1321.0,delta_brier_score,-1.4770858663776254e-05,-0.00012669671186422635,8.858517212762088e-05,500.0
hrs,incident_cancer,head_to_head_cv,13372,8458,414,12958,23,23,5986,168,5818,844,29,815,3373.0,101.0,3272.0,356.0,11.0,345.0,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_cancer,head_to_head_cv,13372,8458,414,12958,23,23,5986,168,5818,844,29,815,3373.0,101.0,3272.0,356.0,11.0,345.0,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_cancer,head_to_head_cv,13372,8458,414,12958,23,23,5986,168,5818,844,29,815,3373.0,101.0,3272.0,356.0,11.0,345.0,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_cancer,head_to_head_cv,13372,8458,414,12958,23,23,5986,168,5818,844,29,815,3373.0,101.0,3272.0,356.0,11.0,345.0,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_cancer,head_to_head_cv_binary_flag,13372,8458,414,12958,22,22,5986,168,5818,844,29,815,,,,,,,M0_routine,PASS,3729.0,112.0,3617.0,c_statistic,0.5613654817906681,0.5353677476852049,0.5908067145023697,500.0
hrs,incident_cancer,head_to_head_cv_binary_flag,13372,8458,414,12958,22,22,5986,168,5818,844,29,815,,,,,,,M0_routine,PASS,3729.0,112.0,3617.0,brier_score,0.030004150073542447,0.027174446602021944,0.03295780243124114,500.0
hrs,incident_cancer,head_to_head_cv_binary_flag,13372,8458,414,12958,22,22,5986,168,5818,844,29,815,,,,,,,M1b_any_withdrawal,PASS,3729.0,112.0,3617.0,c_statistic,0.5610062759431623,0.5347146161749379,0.5898617903925275,500.0
hrs,incident_cancer,head_to_head_cv_binary_flag,13372,8458,414,12958,22,22,5986,168,5818,844,29,815,,,,,,,M1b_any_withdrawal,PASS,3729.0,112.0,3617.0,brier_score,0.03000797806088328,0.0271767889720337,0.032964743653842825,500.0
hrs,incident_cancer,head_to_head_cv_binary_flag,13372,8458,414,12958,22,22,5986,168,5818,844,29,815,,,,,,,M2_fried,PASS,3729.0,112.0,3617.0,c_statistic,0.5597795329839325,0.5336095562470312,0.5891471996724965,500.0
hrs,incident_cancer,head_to_head_cv_binary_flag,13372,8458,414,12958,22,22,5986,168,5818,844,29,815,,,,,,,M2_fried,PASS,3729.0,112.0,3617.0,brier_score,0.030017226351121532,0.027191551868369745,0.032967177661253406,500.0
hrs,incident_cancer,head_to_head_cv_binary_flag,13372,8458,414,12958,22,22,5986,168,5818,844,29,815,,,,,,,M3b_fried_any_withdrawal,PASS,3729.0,112.0,3617.0,c_statistic,0.559569266146368,0.5329013115484561,0.5891712147684073,500.0
hrs,incident_cancer,head_to_head_cv_binary_flag,13372,8458,414,12958,22,22,5986,168,5818,844,29,815,,,,,,,M3b_fried_any_withdrawal,PASS,3729.0,112.0,3617.0,brier_score,0.030020465104144124,0.02719313354570688,0.03297325534383047,500.0
hrs,incident_cancer,head_to_head_cv_binary_flag,13372,8458,414,12958,22,22,5986,168,5818,844,29,815,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,3729.0,112.0,3617.0,delta_c_statistic,-0.00035920584750581686,-0.0027350179499668614,0.0019930946621709187,500.0
hrs,incident_cancer,head_to_head_cv_binary_flag,13372,8458,414,12958,22,22,5986,168,5818,844,29,815,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,3729.0,112.0,3617.0,delta_brier_score,3.8279873408320064e-06,-2.8325463087621253e-06,1.0660126028670145e-05,500.0
hrs,incident_cancer,head_to_head_cv_binary_flag,13372,8458,414,12958,22,22,5986,168,5818,844,29,815,,,,,,,M2_fried_minus_M0_routine,PASS,3729.0,112.0,3617.0,delta_c_statistic,-0.001585948806735682,-0.008243897526993773,0.005497923216724636,500.0
