cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,withdrawal_log_rr_attenuation_percent
share,incident_stroke,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,23207,20255,491,22716,18,18,5967,163,5804,PASS,,context_fi_change,risk_ratio,1.1123659005064808,0.02560102914129458,1.0579278049687089,1.169605232793926,3.188518665668537e-05,8.107111551359424
share,incident_stroke,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,22921,20030,485,22436,17,17,5856,161,5695,PASS,,any_withdrawal,risk_ratio,1.1046921225685886,0.17567457347966267,0.7829008941397846,1.5587473392860947,0.5708720178060749,
share,incident_stroke,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,22921,20030,485,22436,22,22,5856,161,5695,PASS,,any_withdrawal,risk_ratio,1.1035669729029307,0.17501038140505415,0.7831222943694014,1.5551339457942555,0.5733695521109377,1.023472789423393
share,incident_stroke,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,22921,20030,485,22436,22,22,5856,161,5695,PASS,,context_self_rated_health_worsening,risk_ratio,1.2108973877350917,0.09695252988643303,1.0013391565668208,1.4643115412073897,0.04840821530610862,1.023472789423393
share,incident_stroke,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,22921,20030,485,22436,22,22,5856,161,5695,PASS,,context_transition_hospitalization,risk_ratio,1.3188218449109448,0.11210264788839353,1.0586787240614985,1.6428884600058067,0.013563530974861106,1.023472789423393
share,incident_stroke,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,22921,20030,485,22436,22,22,5856,161,5695,PASS,,context_bmi_or_weight_loss,risk_ratio,0.9761399168715652,0.18112240659639475,0.6844479082042824,1.3921426684025104,0.8939311151325467,1.023472789423393
share,incident_stroke,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,22921,20030,485,22436,22,22,5856,161,5695,PASS,,context_incident_non_target_disease,risk_ratio,0.8121276838357973,0.11333964704451821,0.6503534261604687,1.014143000285753,0.06634968005241995,1.023472789423393
share,incident_stroke,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,22921,20030,485,22436,22,22,5856,161,5695,PASS,,context_fi_change,risk_ratio,1.1110076486462304,0.026351916594077512,1.055082104062512,1.1698975753618628,6.478250981124884e-05,1.023472789423393
share,incident_heart_disease,clinical_context,base_same_set_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,27945,19772,1433,26512,18,18,7374,432,6942,PASS,,any_withdrawal,risk_ratio,0.9365094722116817,0.1011380357196387,0.7681098285414251,1.1418288882042371,0.516612855884719,
share,incident_heart_disease,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,27945,19772,1433,26512,19,19,7374,432,6942,PASS,,any_withdrawal,risk_ratio,0.9352006910244928,0.10114144423339123,0.7670312632918234,1.1402407885425914,0.5077273373518281,-2.131981933850766
share,incident_heart_disease,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,27945,19772,1433,26512,19,19,7374,432,6942,PASS,,context_self_rated_health_worsening,risk_ratio,1.0867796585169665,0.055925574036857904,0.9739520277346848,1.2126778245057426,0.13674321982598875,-2.131981933850766
share,incident_heart_disease,clinical_context,base_same_set_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,27953,19779,1432,26521,18,18,7370,430,6940,PASS,,any_withdrawal,risk_ratio,0.9378405611236387,0.10130607570196555,0.7689482694041639,1.1438284642609777,0.5264205655656229,
share,incident_heart_disease,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,27953,19779,1432,26521,19,19,7370,430,6940,PASS,,any_withdrawal,risk_ratio,0.9414199801384628,0.10105570668595087,0.7722619508642238,1.1476307721908272,0.5502717470447683,5.935919613603383
share,incident_heart_disease,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,27953,19779,1432,26521,19,19,7370,430,6940,PASS,,context_transition_hospitalization,risk_ratio,1.3087925387441919,0.06652454700437249,1.1488015514377552,1.4910651080934563,5.227884780966073e-05,5.935919613603383
share,incident_heart_disease,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,27624,19601,1414,26210,18,18,7249,422,6827,PASS,,any_withdrawal,risk_ratio,0.9360433584362255,0.10219596398804702,0.7661372948209509,1.143629444481402,0.5178049003195802,
share,incident_heart_disease,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,27624,19601,1414,26210,19,19,7249,422,6827,PASS,,any_withdrawal,risk_ratio,0.9360326274104468,0.10221494901066171,0.7661000045577421,1.1436588883493044,0.5178100548547958,-0.017345592495077916
share,incident_heart_disease,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,27624,19601,1414,26210,19,19,7249,422,6827,PASS,,context_bmi_or_weight_loss,risk_ratio,1.0011048262265545,0.10528574457425194,0.8144420095376222,1.2305490892630633,0.9916320957412676,-0.017345592495077916
share,incident_heart_disease,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,27961,19783,1433,26528,18,18,7380,432,6948,PASS,,any_withdrawal,risk_ratio,0.9458828151222124,0.10098254473866694,0.776034157449147,1.1529058242544563,0.5816661946305822,
share,incident_heart_disease,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,27961,19783,1433,26528,19,19,7380,432,6948,PASS,,any_withdrawal,risk_ratio,0.9457344000125102,0.10097740601182718,0.7759202074998265,1.1527133160367171,0.5805821369840951,-0.28204235943500167
share,incident_heart_disease,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,27961,19783,1433,26528,19,19,7380,432,6948,PASS,,context_incident_non_target_disease,risk_ratio,1.013593177345283,0.06169057324874564,0.8981576378144459,1.1438650476333816,0.8267588535041636,-0.28204235943500167
share,incident_heart_disease,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,19612,17148,1014,18598,17,17,4913,293,4620,PASS,,any_withdrawal,risk_ratio,0.9748612975038973,0.1227638692565917,0.7663833025525659,1.2400512200692129,0.8357047940596964,
share,incident_heart_disease,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,19612,17148,1014,18598,18,18,4913,293,4620,PASS,,any_withdrawal,risk_ratio,0.9679211018665683,0.12296843603626662,0.7606222678478736,1.2317168442746254,0.7908962879036945,-28.06206858003406
share,incident_heart_disease,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,19612,17148,1014,18598,18,18,4913,293,4620,PASS,,context_fi_change,risk_ratio,1.0649296833069846,0.019248325498305213,1.025502511091694,1.1058726996007449,0.001082061488129545,-28.06206858003406
share,incident_heart_disease,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,19369,16955,1003,18366,17,17,4824,289,4535,PASS,,any_withdrawal,risk_ratio,0.9695650845691633,0.12359988770562244,0.7609717813264469,1.2353368104885576,0.8025391560524571,
share,incident_heart_disease,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,19369,16955,1003,18366,22,22,4824,289,4535,PASS,,any_withdrawal,risk_ratio,0.9673960432078051,0.12373508680859525,0.7590682212918014,1.232899860860274,0.7887845118421175,-7.246207671913902
share,incident_heart_disease,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,19369,16955,1003,18366,22,22,4824,289,4535,PASS,,context_self_rated_health_worsening,risk_ratio,1.08691717076366,0.06818507887220865,0.9509489544958976,1.2423263420349824,0.22157876782871855,-7.246207671913902
share,incident_heart_disease,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,19369,16955,1003,18366,22,22,4824,289,4535,PASS,,context_transition_hospitalization,risk_ratio,1.2689149313733075,0.08036912865237474,1.0839822766206908,1.4853979975408313,0.003043067308687078,-7.246207671913902
share,incident_heart_disease,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,19369,16955,1003,18366,22,22,4824,289,4535,PASS,,context_bmi_or_weight_loss,risk_ratio,1.0169006218551715,0.12667939572923126,0.7933207536315919,1.303491519660472,0.8947488100194037,-7.246207671913902
