cohort,group,variable,summary_type,mean,sd,count,denominator,percent
mhas,withdrawal_0,baseline_heart_disease,count_percent,,,0.0,0,
mhas,withdrawal_0,baseline_hypertension,count_percent,,,0.0,0,
mhas,withdrawal_0,baseline_cancer,count_percent,,,0.0,0,
mhas,withdrawal_0,baseline_arthritis,count_percent,,,0.0,0,
mhas,withdrawal_1,age_years,mean_sd,,,,0,
mhas,withdrawal_1,female,count_percent,,,0.0,0,
mhas,withdrawal_1,education_rank,mean_sd,,,,0,
mhas,withdrawal_1,economic_rank,mean_sd,,,,0,
mhas,withdrawal_1,current_smoking,count_percent,,,0.0,0,
mhas,withdrawal_1,baseline_disease_count,mean_sd,,,,0,
mhas,withdrawal_1,current_drinking,count_percent,,,0.0,0,
mhas,withdrawal_1,current_regular_activity,count_percent,,,0.0,0,
mhas,withdrawal_1,current_paid_work,count_percent,,,0.0,0,
mhas,withdrawal_1,alcohol_withdrawal,count_percent,,,0.0,0,
mhas,withdrawal_1,activity_withdrawal,count_percent,,,0.0,0,
mhas,withdrawal_1,paid_work_withdrawal,count_percent,,,0.0,0,
mhas,withdrawal_1,baseline_diabetes,count_percent,,,0.0,0,
mhas,withdrawal_1,baseline_stroke,count_percent,,,0.0,0,
mhas,withdrawal_1,baseline_heart_disease,count_percent,,,0.0,0,
mhas,withdrawal_1,baseline_hypertension,count_percent,,,0.0,0,
mhas,withdrawal_1,baseline_cancer,count_percent,,,0.0,0,
mhas,withdrawal_1,baseline_arthritis,count_percent,,,0.0,0,
mhas,withdrawal_2_plus,age_years,mean_sd,,,,0,
mhas,withdrawal_2_plus,female,count_percent,,,0.0,0,
mhas,withdrawal_2_plus,education_rank,mean_sd,,,,0,
mhas,withdrawal_2_plus,economic_rank,mean_sd,,,,0,
mhas,withdrawal_2_plus,current_smoking,count_percent,,,0.0,0,
mhas,withdrawal_2_plus,baseline_disease_count,mean_sd,,,,0,
mhas,withdrawal_2_plus,current_drinking,count_percent,,,0.0,0,
mhas,withdrawal_2_plus,current_regular_activity,count_percent,,,0.0,0,
mhas,withdrawal_2_plus,current_paid_work,count_percent,,,0.0,0,
mhas,withdrawal_2_plus,alcohol_withdrawal,count_percent,,,0.0,0,
mhas,withdrawal_2_plus,activity_withdrawal,count_percent,,,0.0,0,
mhas,withdrawal_2_plus,paid_work_withdrawal,count_percent,,,0.0,0,
mhas,withdrawal_2_plus,baseline_diabetes,count_percent,,,0.0,0,
mhas,withdrawal_2_plus,baseline_stroke,count_percent,,,0.0,0,
mhas,withdrawal_2_plus,baseline_heart_disease,count_percent,,,0.0,0,
mhas,withdrawal_2_plus,baseline_hypertension,count_percent,,,0.0,0,
mhas,withdrawal_2_plus,baseline_cancer,count_percent,,,0.0,0,
mhas,withdrawal_2_plus,baseline_arthritis,count_percent,,,0.0,0,
share,all,age_years,mean_sd,71.00021726072565,7.680292978892786,,78247,
share,all,female,count_percent,,,42244.0,78247,53.98801231996115
share,all,education_rank,mean_sd,0.5138751112374188,0.26903059414414143,,78247,
share,all,economic_rank,mean_sd,0.5271209827498192,0.2798345662080723,,78247,
share,all,current_smoking,count_percent,,,6752.0,46141,14.633406298086301
share,all,baseline_disease_count,mean_sd,1.547730789396284,1.1723167844019777,,78199,
share,all,current_drinking,count_percent,,,42456.0,78247,54.25894922489041
share,all,current_regular_activity,count_percent,,,67122.0,78247,85.7822025125564
share,all,current_paid_work,count_percent,,,15922.0,78247,20.348383963602437
share,all,alcohol_withdrawal,count_percent,,,8119.0,78247,10.376116656229632
share,all,activity_withdrawal,count_percent,,,9015.0,78247,11.521208480836327
share,all,paid_work_withdrawal,count_percent,,,5859.0,78247,7.487827009342211
share,all,baseline_diabetes,count_percent,,,13159.0,78204,16.826505038105466
share,all,baseline_stroke,count_percent,,,5786.0,78201,7.398882367233155
share,all,baseline_heart_disease,count_percent,,,16878.0,78208,21.580912438625205
share,all,baseline_hypertension,count_percent,,,43244.0,78210,55.29216212760517
share,all,baseline_cancer,count_percent,,,9107.0,78203,11.645333299234045
share,all,baseline_arthritis,count_percent,,,32897.0,78208,42.06347176759411
share,all,fried_robust,count_percent,,,34897.0,73506,47.47503605147879
share,all,fried_prefrail,count_percent,,,31993.0,73506,43.524338149266725
share,all,fried_frail,count_percent,,,6616.0,73506,9.000625799254482
share,all,frailty_index,mean_sd,0.16215061372569745,0.11055300929291623,,76606,
share,withdrawal_0,age_years,mean_sd,70.7066815106024,7.42378040207477,,57487,
share,withdrawal_0,female,count_percent,,,31218.0,57487,54.304451441195404
share,withdrawal_0,education_rank,mean_sd,0.526517052420107,0.2688179819703739,,57487,
share,withdrawal_0,economic_rank,mean_sd,0.5396990168247614,0.2787724957997343,,57487,
share,withdrawal_0,current_smoking,count_percent,,,4770.0,33017,14.44710300754157
share,withdrawal_0,baseline_disease_count,mean_sd,1.4849903416111236,1.1443362638822054,,57463,
share,withdrawal_0,current_drinking,count_percent,,,36084.0,57487,62.76897385495851
share,withdrawal_0,current_regular_activity,count_percent,,,56201.0,57487,97.76297249813001
share,withdrawal_0,current_paid_work,count_percent,,,14027.0,57487,24.400299198079566
share,withdrawal_0,alcohol_withdrawal,count_percent,,,0.0,57487,0.0
share,withdrawal_0,activity_withdrawal,count_percent,,,0.0,57487,0.0
share,withdrawal_0,paid_work_withdrawal,count_percent,,,0.0,57487,0.0
share,withdrawal_0,baseline_diabetes,count_percent,,,8964.0,57464,15.5993317555339
share,withdrawal_0,baseline_stroke,count_percent,,,3814.0,57464,6.637198941946262
share,withdrawal_0,baseline_heart_disease,count_percent,,,11612.0,57467,20.20637931334505
share,withdrawal_0,baseline_hypertension,count_percent,,,31003.0,57465,53.95110066997303
share,withdrawal_0,baseline_cancer,count_percent,,,6530.0,57465,11.363438614809015
share,withdrawal_0,baseline_arthritis,count_percent,,,23422.0,57466,40.75801343403056
share,withdrawal_0,fried_robust,count_percent,,,29142.0,54786,53.19242142153105
share,withdrawal_0,fried_prefrail,count_percent,,,23298.0,54786,42.52546270945132
share,withdrawal_0,fried_frail,count_percent,,,2346.0,54786,4.282115869017632
share,withdrawal_0,frailty_index,mean_sd,0.15009481912368444,0.09658892549112116,,56709,
share,withdrawal_1,age_years,mean_sd,71.84287480513896,8.262095072066376,,18603,
share,withdrawal_1,female,count_percent,,,10039.0,18603,53.96441434177283
share,withdrawal_1,education_rank,mean_sd,0.48049247764146463,0.26690927929397285,,18603,
share,withdrawal_1,economic_rank,mean_sd,0.49353653593559665,0.2799679309821344,,18603,
share,withdrawal_1,current_smoking,count_percent,,,1751.0,11750,14.902127659574468
share,withdrawal_1,baseline_disease_count,mean_sd,1.7143625894634882,1.2359605858787195,,18583,
share,withdrawal_1,current_drinking,count_percent,,,6182.0,18603,33.23119926893512
share,withdrawal_1,current_regular_activity,count_percent,,,10436.0,18603,56.098478739988174
share,withdrawal_1,current_paid_work,count_percent,,,1781.0,18603,9.57372466806429
share,withdrawal_1,alcohol_withdrawal,count_percent,,,6336.0,18603,34.05902273826802
share,withdrawal_1,activity_withdrawal,count_percent,,,7365.0,18603,39.59038864699242
share,withdrawal_1,paid_work_withdrawal,count_percent,,,4902.0,18603,26.350588614739557
share,withdrawal_1,baseline_diabetes,count_percent,,,3753.0,18587,20.191531715715286
share,withdrawal_1,baseline_stroke,count_percent,,,1753.0,18584,9.432845458458889
share,withdrawal_1,baseline_heart_disease,count_percent,,,4700.0,18587,25.286490557916824
share,withdrawal_1,baseline_hypertension,count_percent,,,10923.0,18591,58.754235920606746
share,withdrawal_1,baseline_cancer,count_percent,,,2269.0,18585,12.20877051385526
share,withdrawal_1,baseline_arthritis,count_percent,,,8484.0,18588,45.64234990316333
share,withdrawal_1,fried_robust,count_percent,,,5484.0,16864,32.51897533206831
share,withdrawal_1,fried_prefrail,count_percent,,,7746.0,16864,45.932163187855785
share,withdrawal_1,fried_frail,count_percent,,,3634.0,16864,21.548861480075903
share,withdrawal_1,frailty_index,mean_sd,0.19440290737749868,0.13637532971681848,,17892,
share,withdrawal_2_plus,age_years,mean_sd,71.55586462679648,8.578149916449744,,2157,
share,withdrawal_2_plus,female,count_percent,,,987.0,2157,45.75799721835883
share,withdrawal_2_plus,education_rank,mean_sd,0.4648578928861614,0.2627204845880036,,2157,
share,withdrawal_2_plus,economic_rank,mean_sd,0.4815475099722464,0.2784352276948578,,2157,
share,withdrawal_2_plus,current_smoking,count_percent,,,231.0,1374,16.812227074235807
share,withdrawal_2_plus,baseline_disease_count,mean_sd,1.7840222944728286,1.1756850346151249,,2153,
share,withdrawal_2_plus,current_drinking,count_percent,,,190.0,2157,8.808530366249421
share,withdrawal_2_plus,current_regular_activity,count_percent,,,485.0,2157,22.4849327770051
share,withdrawal_2_plus,current_paid_work,count_percent,,,114.0,2157,5.285118219749652
share,withdrawal_2_plus,alcohol_withdrawal,count_percent,,,1783.0,2157,82.66110338433009
share,withdrawal_2_plus,activity_withdrawal,count_percent,,,1650.0,2157,76.4951321279555
share,withdrawal_2_plus,paid_work_withdrawal,count_percent,,,957.0,2157,44.36717663421419
share,withdrawal_2_plus,baseline_diabetes,count_percent,,,442.0,2153,20.529493729679515
share,withdrawal_2_plus,baseline_stroke,count_percent,,,219.0,2153,10.171853228053878
share,withdrawal_2_plus,baseline_heart_disease,count_percent,,,566.0,2154,26.27669452181987
share,withdrawal_2_plus,baseline_hypertension,count_percent,,,1318.0,2154,61.18848653667595
share,withdrawal_2_plus,baseline_cancer,count_percent,,,308.0,2153,14.305620065025545
share,withdrawal_2_plus,baseline_arthritis,count_percent,,,991.0,2154,46.00742804085422
share,withdrawal_2_plus,fried_robust,count_percent,,,271.0,1856,14.601293103448276
share,withdrawal_2_plus,fried_prefrail,count_percent,,,949.0,1856,51.13146551724138
share,withdrawal_2_plus,fried_frail,count_percent,,,636.0,1856,34.26724137931034
share,withdrawal_2_plus,frailty_index,mean_sd,0.21532468757483908,0.1446783361900542,,2005,
