outcome_id,domain,model_id,term,k_cohorts,cohorts,cohort_estimates,n_total,not_evaluable,pooled_estimate,ci_low,ci_high,prediction_low,prediction_high,i2,tau2
mortality,activity,four_state_never_had_reference,activity_started,4,elsa;hrs;klosa;share,elsa:0.4773;hrs:0.6171;klosa:0.4684;share:0.5850,162582,,0.5772582160565258,0.4760706870105293,0.6999528790509059,0.4044868246415294,0.8238267051098149,8.309985402171614,0.00316588442260558
mortality,activity,four_state_never_had_reference,activity_stopped,4,elsa;hrs;klosa;share,elsa:0.7584;hrs:0.8536;klosa:0.9502;share:0.8481,162582,,0.857764035502188,0.79555814828404,0.9248338945279825,0.7747527393471076,0.9496696213310983,0.0,4.2300630066830894e-13
mortality,activity,restricted_stopped_vs_continued,activity_loss,4,elsa;hrs;klosa;share,elsa:2.1293;hrs:2.0358;klosa:2.0996;share:2.1589,133291,,2.0772285920464415,1.9789204684008768,2.180420432510864,1.945435079791474,2.21795045665453,0.0,4.2300630066830894e-13
mortality,alcohol,four_state_never_had_reference,alcohol_continued,2,hrs;share,hrs:0.9060;share:0.8776,116462,,,,,,,,
mortality,alcohol,four_state_never_had_reference,alcohol_started,2,hrs;share,hrs:0.9457;share:1.0005,116462,,,,,,,,
mortality,alcohol,four_state_never_had_reference,alcohol_stopped,2,hrs;share,hrs:1.3795;share:1.2960,116462,,,,,,,,
mortality,alcohol,restricted_stopped_vs_continued,alcohol_loss,4,elsa;hrs;klosa;share,elsa:1.5264;hrs:1.5285;klosa:1.8413;share:1.4995,103237,,1.5400394551524959,1.408222045586389,1.6841957068203703,1.364559095733516,1.738086339273919,0.0,4.2300630066830894e-13
mortality,work,four_state_never_had_reference,work_continued,2,hrs;share,hrs:0.5927;share:0.6927,116462,,,,,,,,
mortality,work,four_state_never_had_reference,work_started,2,hrs;share,hrs:0.5475;share:0.6310,116462,,,,,,,,
mortality,work,four_state_never_had_reference,work_stopped,2,hrs;share,hrs:1.0274;share:1.1953,116462,,,,,,,,
mortality,work,restricted_stopped_vs_continued,work_loss,3,hrs;klosa;share,hrs:1.6754;klosa:1.8157;share:1.6682,45489,,1.6971801967986984,1.5463860883148117,1.8626788239828471,1.2894150530980886,2.233897156299562,0.0,4.2300630066830894e-13
