cohort,outcome_id,context_id,model_id,state_adjustment,term,log_rr_attenuation_percent,n,events,estimate,ci_low,ci_high
hrs,incident_any_adl,incident_non_target_disease,base_same_set_incident_non_target_disease,current_state_held,loss_1,32.347221812942784,54427,5028,1.2888188011472068,1.174453425107934,1.4143207952566277
hrs,incident_any_adl,incident_non_target_disease,base_same_set_incident_non_target_disease,current_state_held,loss_2plus,22.73858410823322,54427,5028,1.7352825265623533,1.4203918644721505,2.1199821840092383
hrs,incident_any_adl,incident_non_target_disease,plus_incident_non_target_disease,unconditional,loss_1,-0.1133050915238373,54427,5028,1.455670556905451,1.3764934350002154,1.5394020170107785
hrs,incident_any_adl,incident_non_target_disease,plus_incident_non_target_disease,unconditional,loss_2plus,-0.2854894959144383,54427,5028,2.045045821267835,1.7769053073998349,2.353649569095447
hrs,incident_any_adl,fi_change,base_same_set_fi_change,current_state_held,loss_1,31.04195566053256,39248,3624,1.2975782146006003,1.1611749525296298,1.4500047726125218
hrs,incident_any_adl,fi_change,base_same_set_fi_change,current_state_held,loss_2plus,22.596463355214578,39248,3624,1.7282209137674007,1.3639730562687815,2.1897408552581163
hrs,incident_any_adl,fi_change,plus_fi_change,unconditional,loss_1,-0.6691206968427516,39248,3624,1.4627132214903455,1.3691015482906388,1.5627255487322524
hrs,incident_any_adl,fi_change,plus_fi_change,unconditional,loss_2plus,-1.043215193713727,39248,3624,2.042509236220427,1.7361891200789168,2.402874163763983
hrs,incident_any_adl,joint_context,base_same_set_joint_context,current_state_held,loss_1,22.33755190890821,16981,1454,1.291453112018971,1.0823950724716571,1.5408894432001936
hrs,incident_any_adl,joint_context,base_same_set_joint_context,current_state_held,loss_2plus,8.64666205702675,16981,1454,2.0680701158180375,1.4479447197757842,2.9537826586376283
hrs,incident_any_adl,joint_context,plus_joint_context,unconditional,loss_1,8.271356906935628,16981,1454,1.3526865367021834,1.2173658776369982,1.5030492477142992
hrs,incident_any_adl,joint_context,plus_joint_context,unconditional,loss_2plus,4.402858472274184,16981,1454,2.139068974937818,1.684067162683393,2.717003324410613
hrs,incident_any_adl,joint_context_no_fi,base_same_set_joint_context_no_fi,current_state_held,loss_1,34.84435041679353,20153,1708,1.240743789085764,1.054828785275517,1.4594265644284652
hrs,incident_any_adl,joint_context_no_fi,base_same_set_joint_context_no_fi,current_state_held,loss_2plus,18.384331179899355,20153,1708,1.8242605096082951,1.3035049487076582,2.5530600480003875
hrs,incident_any_adl,joint_context_no_fi,plus_joint_context_no_fi,unconditional,loss_1,10.93349042110194,20153,1708,1.342955516964036,1.2189329597349563,1.4795969754860836
hrs,incident_any_adl,joint_context_no_fi,plus_joint_context_no_fi,unconditional,loss_2plus,8.328364041391188,20153,1708,1.964516543010586,1.5631808295956904,2.4688923857647747
hrs,incident_any_iadl,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,loss_1,62.504124453295205,51018,3595,1.149650803198328,1.0280519088261082,1.2856325229761545
hrs,incident_any_iadl,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,loss_2plus,52.60740972756711,51018,3595,1.3938976619985828,1.09142150982395,1.780201942729276
hrs,incident_any_iadl,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,loss_1,1.1122400054126678,51018,3595,1.444542721451087,1.3498102934858898,1.5459236636197176
hrs,incident_any_iadl,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,loss_2plus,0.679716262397973,51018,3595,2.0056888325566247,1.68105111953822,2.3930192522327367
hrs,incident_any_iadl,transition_hospitalization,base_same_set_transition_hospitalization,current_state_held,loss_1,62.721973780921346,50960,3587,1.149078774212411,1.0272460630626157,1.2853610024154585
hrs,incident_any_iadl,transition_hospitalization,base_same_set_transition_hospitalization,current_state_held,loss_2plus,53.75872526912047,50960,3587,1.376443091154115,1.076752716929492,1.759545672277098
hrs,incident_any_iadl,transition_hospitalization,plus_transition_hospitalization,unconditional,loss_1,4.5421175953198185,50960,3587,1.4273740763236122,1.3334590917052327,1.5279034553322923
hrs,incident_any_iadl,transition_hospitalization,plus_transition_hospitalization,unconditional,loss_2plus,4.914433904216851,50960,3587,1.9289790408950656,1.6154925542584817,2.3032976106289675
hrs,incident_any_iadl,cesd_worsening,base_same_set_cesd_worsening,current_state_held,loss_1,64.99536856837392,49733,3486,1.1382711645885228,1.0159033005168232,1.275378516316038
hrs,incident_any_iadl,cesd_worsening,base_same_set_cesd_worsening,current_state_held,loss_2plus,53.195675663494754,49733,3486,1.399166893574797,1.092642111295915,1.791682725603426
hrs,incident_any_iadl,cesd_worsening,plus_cesd_worsening,unconditional,loss_1,3.9473663911414567,49733,3486,1.426718109977634,1.3313645187834973,1.5289010159276772
hrs,incident_any_iadl,cesd_worsening,plus_cesd_worsening,unconditional,loss_2plus,3.940659885726509,49733,3486,1.992401326380722,1.667828265454839,2.380138967294142
