cohort,outcome_id,analysis_family,context_id,outcome_coding_status,context_fields,model_id,state_adjustment,n,people,events,nonevents,parameters,matrix_rank,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,log_rr_attenuation_percent
hrs,mortality,clinical_context_graded,bmi_or_weight_loss,PASS_SOURCE_STATUS,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,25662,15002,1229,24433,19,19,6666,454,6212,746,70,676,PASS,,context_bmi_or_weight_loss,risk_ratio,2.208986240380857,0.07264548654450276,1.9158304007203786,2.547000093722883,1.0370389568939837e-27,
hrs,mortality,clinical_context_graded,incident_non_target_disease,PASS_SOURCE_STATUS,incident_non_target_disease,base_same_set_incident_non_target_disease,unconditional,72785,21202,4554,68231,19,19,19936,1895,18041,2246,288,1958,PASS,,loss_1,risk_ratio,1.7176908014979833,0.028997752108896362,1.6227890127125084,1.8181425104789548,1.1296037847440857e-77,
hrs,mortality,clinical_context_graded,incident_non_target_disease,PASS_SOURCE_STATUS,incident_non_target_disease,base_same_set_incident_non_target_disease,unconditional,72785,21202,4554,68231,19,19,19936,1895,18041,2246,288,1958,PASS,,loss_2plus,risk_ratio,3.3540141617107047,0.061949570993114114,2.97052575110571,3.7870100916541882,5.582009651298751e-85,
hrs,mortality,clinical_context_graded,incident_non_target_disease,PASS_SOURCE_STATUS,incident_non_target_disease,base_same_set_incident_non_target_disease,current_state_held,72785,21202,4554,68231,22,22,19936,1895,18041,2246,288,1958,PASS,,loss_1,risk_ratio,1.191729329043516,0.05388391279164204,1.0722882768724444,1.324474793145065,0.0011329360641565086,67.57639833272584
hrs,mortality,clinical_context_graded,incident_non_target_disease,PASS_SOURCE_STATUS,incident_non_target_disease,base_same_set_incident_non_target_disease,current_state_held,72785,21202,4554,68231,22,22,19936,1895,18041,2246,288,1958,PASS,,loss_2plus,risk_ratio,1.7846370938462923,0.10654651312642668,1.4482960933046474,2.1990873078066047,5.440900072295589e-08,52.137229974409216
hrs,mortality,clinical_context_graded,incident_non_target_disease,PASS_SOURCE_STATUS,incident_non_target_disease,plus_incident_non_target_disease,unconditional,72785,21202,4554,68231,20,20,19936,1895,18041,2246,288,1958,PASS,,loss_1,risk_ratio,1.7050857513578785,0.02900708614963032,1.6108509171898908,1.8048333265721697,1.4133321641798086e-75,1.3614951894479828
hrs,mortality,clinical_context_graded,incident_non_target_disease,PASS_SOURCE_STATUS,incident_non_target_disease,plus_incident_non_target_disease,unconditional,72785,21202,4554,68231,20,20,19936,1895,18041,2246,288,1958,PASS,,loss_2plus,risk_ratio,3.302687273227641,0.06222401234563979,2.923494476067819,3.73106339486266,3.660577447259249e-82,1.2743315230753705
hrs,mortality,clinical_context_graded,incident_non_target_disease,PASS_SOURCE_STATUS,incident_non_target_disease,plus_incident_non_target_disease,unconditional,72785,21202,4554,68231,20,20,19936,1895,18041,2246,288,1958,PASS,,context_incident_non_target_disease,risk_ratio,1.2796756137152285,0.032773906514070666,1.2000592644646062,1.3645740046580377,5.293036975674191e-14,
hrs,mortality,clinical_context_graded,fi_change,PASS_SOURCE_STATUS,fi_change,base_same_set_fi_change,unconditional,50822,17971,2784,48038,17,17,13601,1085,12516,1522,171,1351,PASS,,loss_1,risk_ratio,1.6352717673860842,0.0377139563774302,1.5187551406740039,1.760727375726459,7.197939769974642e-39,
hrs,mortality,clinical_context_graded,fi_change,PASS_SOURCE_STATUS,fi_change,base_same_set_fi_change,unconditional,50822,17971,2784,48038,17,17,13601,1085,12516,1522,171,1351,PASS,,loss_2plus,risk_ratio,3.204421228924253,0.08011909667311304,2.738748177049462,3.749273298811573,7.270796781679939e-48,
