cohort,outcome_id,analysis_family,context_id,outcome_coding_status,context_fields,model_id,state_adjustment,n,people,events,nonevents,parameters,matrix_rank,model_status,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents
charls,incident_any_adl,clinical_context_graded,fi_change,PASS_STRICT_COMPLETE_ITEM_COUNTS,fi_change,base_same_set_fi_change,unconditional,0,0,0,0,14,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_adl,clinical_context_graded,fi_change,PASS_STRICT_COMPLETE_ITEM_COUNTS,fi_change,base_same_set_fi_change,current_state_held,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_adl,clinical_context_graded,fi_change,PASS_STRICT_COMPLETE_ITEM_COUNTS,fi_change,plus_fi_change,unconditional,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_adl,clinical_context_graded,joint_context,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,base_same_set_joint_context,unconditional,0,0,0,0,14,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_adl,clinical_context_graded,joint_context,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,base_same_set_joint_context,current_state_held,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_adl,clinical_context_graded,joint_context,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,plus_joint_context,unconditional,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_adl,clinical_context_graded,joint_context_no_fi,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,base_same_set_joint_context_no_fi,unconditional,749,749,123,626,13,13,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_adl,clinical_context_graded,joint_context_no_fi,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,base_same_set_joint_context_no_fi,current_state_held,749,749,123,626,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_adl,clinical_context_graded,joint_context_no_fi,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,plus_joint_context_no_fi,unconditional,749,749,123,626,17,17,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_iadl,clinical_context_graded,transition_hospitalization,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization,base_same_set_transition_hospitalization,unconditional,912,912,150,762,13,13,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,290.0,52.0,238.0,57.0,13.0,44.0
charls,incident_any_iadl,clinical_context_graded,transition_hospitalization,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization,base_same_set_transition_hospitalization,current_state_held,912,912,150,762,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_iadl,clinical_context_graded,transition_hospitalization,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization,plus_transition_hospitalization,unconditional,912,912,150,762,14,14,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,290.0,52.0,238.0,57.0,13.0,44.0
charls,incident_any_iadl,clinical_context_graded,cesd_worsening,PASS_STRICT_COMPLETE_ITEM_COUNTS,cesd_worsening,base_same_set_cesd_worsening,unconditional,902,902,149,753,13,13,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,286.0,50.0,236.0,58.0,14.0,44.0
charls,incident_any_iadl,clinical_context_graded,cesd_worsening,PASS_STRICT_COMPLETE_ITEM_COUNTS,cesd_worsening,base_same_set_cesd_worsening,current_state_held,902,902,149,753,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_iadl,clinical_context_graded,cesd_worsening,PASS_STRICT_COMPLETE_ITEM_COUNTS,cesd_worsening,plus_cesd_worsening,unconditional,902,902,149,753,14,14,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,286.0,50.0,236.0,58.0,14.0,44.0
charls,incident_any_iadl,clinical_context_graded,bmi_or_weight_loss,PASS_STRICT_COMPLETE_ITEM_COUNTS,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,unconditional,740,740,121,619,13,13,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_iadl,clinical_context_graded,bmi_or_weight_loss,PASS_STRICT_COMPLETE_ITEM_COUNTS,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,740,740,121,619,16,16,NOT_EVALUABLE_EPV,,,,,,
