cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,two_domain_any_n,two_domain_any_events,two_domain_any_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,direction_expansion_n,direction_expansion_events,direction_expansion_nonevents,direction_mixed_n,direction_mixed_events,direction_mixed_nonevents,direction_contraction_1_n,direction_contraction_1_events,direction_contraction_1_nonevents,direction_contraction_2_plus_n,direction_contraction_2_plus_events,direction_contraction_2_plus_nonevents
elsa,incident_heart_disease,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,22487,7020,891,21596,23,23,PASS,,,,,alcohol_loss,risk_ratio,0.8663784140535571,0.2193667885785125,0.5636146514269793,1.3317814830354964,0.5132069123038321,,,,751.0,42.0,709.0,2276.0,109.0,2167.0,1885.0,66.0,1819.0,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,22487,7020,891,21596,23,23,PASS,,,,,activity_loss,risk_ratio,0.6936732791770144,0.1705144315149015,0.496606978611913,0.9689405082247652,0.0319524939053284,,,,751.0,42.0,709.0,2276.0,109.0,2167.0,1885.0,66.0,1819.0,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,22487,7020,891,21596,23,23,PASS,,,,,work_loss,risk_ratio,1.100062990456418,0.1803432374971138,0.7725188971853284,1.566484117580884,0.5969367414608138,,,,751.0,42.0,709.0,2276.0,109.0,2167.0,1885.0,66.0,1819.0,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,22487,7020,891,21596,22,22,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,4295.0,201.0,4094.0,305.0,8.0,297.0,,,,,,,,,,,,
elsa,incident_heart_disease,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,22487,7020,891,21596,24,24,NOT_EVALUABLE_DIRECTION_MIXED_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984.0,68.0,1916.0,319.0,11.0,308.0,,,,,,
elsa,incident_heart_disease,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,22487,7020,891,21596,18,18,PASS,4600.0,209.0,4391.0,,any_withdrawal,risk_ratio,1.2387070678229093,0.0806797556272237,1.0575328899793832,1.4509196020412596,0.0079707373739738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,22487,7020,891,21596,18,18,PASS,,,,,two_domain_any,risk_ratio,1.1391964557945746,0.0904254571985115,0.9541756653866674,1.360093965893603,0.1495219991782315,2910.0,147.0,2763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,22487,7020,891,21596,20,20,PASS,,,,,alcohol_loss,risk_ratio,1.2667497136943986,0.1559403810427777,0.933155718483608,1.719600282525653,0.1294403680519056,,,,751.0,42.0,709.0,2276.0,109.0,2167.0,1885.0,66.0,1819.0,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,22487,7020,891,21596,20,20,PASS,,,,,activity_loss,risk_ratio,1.0594749254327098,0.1014434671663023,0.8684440558273772,1.2925266861907865,0.569007658338456,,,,751.0,42.0,709.0,2276.0,109.0,2167.0,1885.0,66.0,1819.0,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,22487,7020,891,21596,20,20,PASS,,,,,work_loss,risk_ratio,1.3407865172943214,0.1383547179275716,1.0223318348847583,1.75843930866232,0.0340399542374352,,,,751.0,42.0,709.0,2276.0,109.0,2167.0,1885.0,66.0,1819.0,,,,,,,,,,,,,,,,,,
elsa,incident_hypertension,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,15226,4927,813,14413,21,21,PASS,3029.0,176.0,2853.0,,any_withdrawal,risk_ratio,0.970024618330163,0.1428997693423916,0.7330713593376458,1.2835691207698463,0.8313478286193408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_hypertension,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,15226,4927,813,14413,21,21,PASS,,,,,two_domain_any,risk_ratio,1.163279777681311,0.1552107126530827,0.8581606178647374,1.5768841088622103,0.3298384900209419,1792.0,128.0,1664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_hypertension,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,15226,4927,813,14413,23,23,PASS,,,,,alcohol_loss,risk_ratio,1.1856261382148874,0.2218348339741768,0.7675763977851157,1.831360817860736,0.4427500365057519,,,,473.0,36.0,437.0,1373.0,95.0,1278.0,1366.0,64.0,1302.0,,,,,,,,,,,,,,,,,,
elsa,incident_hypertension,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,15226,4927,813,14413,23,23,PASS,,,,,activity_loss,risk_ratio,1.1255411264702722,0.1864868028040384,0.7809505122328579,1.622180672823775,0.5259713337999978,,,,473.0,36.0,437.0,1373.0,95.0,1278.0,1366.0,64.0,1302.0,,,,,,,,,,,,,,,,,,
elsa,incident_hypertension,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,15226,4927,813,14413,23,23,PASS,,,,,work_loss,risk_ratio,1.1070314883050605,0.1682775206667051,0.7960161679313676,1.5395651061758098,0.5456758386136039,,,,473.0,36.0,437.0,1373.0,95.0,1278.0,1366.0,64.0,1302.0,,,,,,,,,,,,,,,,,,
elsa,incident_hypertension,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,15226,4927,813,14413,22,22,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,2851.0,157.0,2694.0,178.0,19.0,159.0,,,,,,,,,,,,
elsa,incident_hypertension,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,15226,4927,813,14413,24,24,NOT_EVALUABLE_DIRECTION_MIXED_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256.0,80.0,1176.0,211.0,8.0,203.0,,,,,,
