cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,model_id,model_status,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,metric,estimate,ci_low,ci_high,bootstrap_replicates
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M1b_any_withdrawal_minus_M0_routine,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,delta_brier_score,4.24858131890804e-06,-3.2604189383167446e-06,1.1726081068602102e-05,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M2_fried_minus_M0_routine,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,delta_c_statistic,-0.0004412122687439,-0.0040850822394763,0.0034236719232886,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M2_fried_minus_M0_routine,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,delta_brier_score,2.349817911875829e-06,-6.255437034786495e-05,5.720252305043485e-05,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M3b_fried_any_withdrawal_minus_M0_routine,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,delta_c_statistic,-0.0007170967218436,-0.0047011958588792,0.0034774457986103,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M3b_fried_any_withdrawal_minus_M0_routine,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,delta_brier_score,6.614078295115455e-06,-5.997614515317277e-05,6.108977312513814e-05,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M3b_fried_any_withdrawal_minus_M2_fried,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,delta_c_statistic,-0.0002758844530996,-0.0012716977545995,0.0007819788207927,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,M3b_fried_any_withdrawal_minus_M2_fried,PASS,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,2126.0,91.0,2035.0,delta_brier_score,4.264260383239626e-06,-3.605553532404216e-06,1.218642409769252e-05,500.0
elsa,incident_hypertension,head_to_head_cv,7218,3959,418,6800,21,21,M0_routine,NOT_EVALUABLE_CV_SUPPORT,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,,,,,,,,
elsa,incident_hypertension,head_to_head_cv,7218,3959,418,6800,21,21,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,,,,,,,,
elsa,incident_hypertension,head_to_head_cv,7218,3959,418,6800,21,21,M2_fried,NOT_EVALUABLE_CV_SUPPORT,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,,,,,,,,
