analysis_family,model_id,outcome_id,term,k_cohorts,cohorts,pooled_rr,ci_low,ci_high,prediction_low,prediction_high,i2,tau2_log_scale,direction_above_one,cohort_estimates
current_state_decomposition,domain_specific_without_current_states,incident_hypertension,work_loss,4,elsa;hrs;klosa;share,1.0059390122306775,0.8520544520185825,1.1876157608593332,0.7508623839104347,1.3476681187006105,0.11514779361210499,0.0018983710814875381,0.5,elsa:1.0378;hrs:1.0904;klosa:0.8389;share:0.9671
current_state_decomposition,three_domain_any_without_current_states,incident_arthritis,any_withdrawal,4,elsa;hrs;klosa;share,1.123356526595527,1.061083004817709,1.1892847968680482,1.0399945112756253,1.2134005248709658,0.0,4.2300630066830894e-13,0.75,elsa:1.1267;hrs:1.1485;klosa:0.9713;share:1.1134
current_state_decomposition,three_domain_any_without_current_states,incident_cancer,any_withdrawal,4,elsa;hrs;klosa;share,1.1202747603605516,0.9535698898591891,1.316123287917801,0.9009956621026621,1.3929207336826126,0.3918354138323442,4.2300630066830894e-13,0.75,elsa:1.0846;hrs:1.1716;klosa:0.8047;share:1.1290
current_state_decomposition,three_domain_any_without_current_states,incident_diabetes,any_withdrawal,4,elsa;hrs;klosa;share,1.2645372472097998,1.2076649246074869,1.3240878467184598,1.1882607828633744,1.3457100264873394,0.0,4.2300630066830894e-13,1.0,elsa:1.2913;hrs:1.2358;klosa:1.2675;share:1.3089
current_state_decomposition,three_domain_any_without_current_states,incident_heart_disease,any_withdrawal,4,elsa;hrs;klosa;share,1.1529350929262838,1.0788910949674908,1.2320607100209613,1.053975581948637,1.2611860760980298,0.0,4.2300630066830894e-13,1.0,elsa:1.2387;hrs:1.1196;klosa:1.1348;share:1.1713
current_state_decomposition,three_domain_any_without_current_states,incident_hypertension,any_withdrawal,4,elsa;hrs;klosa;share,1.0547380032359204,0.8784262189102058,1.266437899417726,0.6964953398761367,1.5972429272361484,0.566970199557506,0.00599886673070784,0.75,elsa:1.1333;hrs:1.1079;klosa:0.8536;share:1.0812
current_state_decomposition,three_domain_any_without_current_states,incident_stroke,any_withdrawal,4,elsa;hrs;klosa;share,1.238878722697878,1.1132939581866943,1.378630035910195,1.0721871516380042,1.4314856200326092,0.0,4.2300630066830894e-13,1.0,elsa:1.1727;hrs:1.2415;klosa:1.0511;share:1.3092
current_state_decomposition,two_domain_any_without_current_states,incident_arthritis,two_domain_any,4,elsa;hrs;klosa;share,1.1325780140479813,1.0094610081236075,1.2707107531465938,0.9693872855408596,1.323240955434217,0.24809686550023458,4.2300630066830894e-13,0.75,elsa:1.1901;hrs:1.1564;klosa:0.8047;share:1.1252
current_state_decomposition,two_domain_any_without_current_states,incident_cancer,two_domain_any,4,elsa;hrs;klosa;share,1.0852491169904808,0.7972744316058065,1.477239955577726,0.5710679957906972,2.0623912644551043,0.6073602136873226,0.012878820301452711,0.75,elsa:1.1377;hrs:1.0907;klosa:0.6931;share:1.2317
current_state_decomposition,two_domain_any_without_current_states,incident_diabetes,two_domain_any,4,elsa;hrs;klosa;share,1.3260947506525078,1.2744573852173138,1.3798243143361613,1.256763809901727,1.3992504190947745,0.0,4.2300630066830894e-13,1.0,elsa:1.4022;hrs:1.3112;klosa:1.2952;share:1.3390
current_state_decomposition,two_domain_any_without_current_states,incident_heart_disease,two_domain_any,4,elsa;hrs;klosa;share,1.1183148316780949,1.0507899277647001,1.1901789593773633,1.0280046174176087,1.2165587990186624,0.0,4.2300630066830894e-13,1.0,elsa:1.1392;hrs:1.0879;klosa:1.0546;share:1.1674
current_state_decomposition,two_domain_any_without_current_states,incident_hypertension,two_domain_any,4,elsa;hrs;klosa;share,1.0949644149171844,0.85863530681622,1.3963402860529603,0.6066615122752665,1.9763031701785658,0.6384544946977389,0.01299879068616337,0.75,elsa:1.2837;hrs:1.1087;klosa:0.8530;share:1.1300
current_state_decomposition,two_domain_any_without_current_states,incident_stroke,two_domain_any,4,elsa;hrs;klosa;share,1.2659499305794888,1.194196558429793,1.3420146084171043,1.1699195564673677,1.3698627549858504,0.0,4.2300630066830894e-13,1.0,elsa:1.2670;hrs:1.2650;klosa:1.1370;share:1.2971
frailty_head_to_head,M1b_any_withdrawal,incident_arthritis,any_withdrawal,3,elsa;hrs;share,1.1374106119966856,0.9680625134313074,1.3363836346654225,0.7065756093507284,1.8309475775302482,0.0,4.2300630066830894e-13,0.6666666666666666,elsa:0.9715;hrs:1.2180;share:1.1420
frailty_head_to_head,M1b_any_withdrawal,incident_cancer,any_withdrawal,3,elsa;hrs;share,0.8623541550074477,0.38871736743491886,1.9130986957589842,0.01934851217276685,38.43472211291304,0.591624354081239,0.05500618338578298,0.3333333333333333,elsa:0.5623;hrs:1.1066;share:0.9095
frailty_head_to_head,M1b_any_withdrawal,incident_diabetes,any_withdrawal,3,elsa;hrs;share,1.0614664013021295,0.7480702439207918,1.50615658121618,0.37769418226587953,2.9831301989717716,0.0,3.706915005177815e-13,0.6666666666666666,elsa:0.9139;hrs:1.2567;share:1.0042
frailty_head_to_head,M1b_any_withdrawal,incident_heart_disease,any_withdrawal,3,elsa;hrs;share,1.0223267321756664,0.8200242170443902,1.2745379046097116,0.5330782648023248,1.9605975638652948,0.0,4.2300630066830894e-13,0.6666666666666666,elsa:1.0659;hrs:1.1317;share:0.9632
frailty_head_to_head,M1b_any_withdrawal,incident_hypertension,any_withdrawal,3,elsa;hrs;share,0.9388073671720399,0.4310657923029564,2.044604996253266,0.017481378958970433,50.41703373201204,0.7085021837887331,0.06556135694245874,0.3333333333333333,elsa:0.6417;hrs:1.2507;share:0.9414
frailty_head_to_head,M2_fried,incident_cancer,frail,3,elsa;hrs;share,1.283354180461496,0.8489700503775593,1.9399953529285694,0.378790206032898,4.348047880532995,0.0,6.297552933276127e-13,1.0,elsa:1.1604;hrs:1.0721;share:1.4473
