cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,warnings,term,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,withdrawal_only_n,withdrawal_only_events,withdrawal_only_nonevents,frailty_only_n,frailty_only_events,frailty_only_nonevents,both_n,both_events,both_nonevents
elsa,incident_diabetes,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,11572,6128,236,11336,19,19,PASS,,frail,,,,,,,4369.0,103.0,4266.0,497.0,23.0,474.0,risk_ratio,1.7888015274989673,0.2618248827384316,1.0707705371445035,2.988325503721639,0.0263424793275694,,,,,,,,,,,,
elsa,incident_diabetes,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,11572,6128,236,11336,21,21,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,2165.0,50.0,2115.0,152.0,9.0,143.0,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,frailty_head_to_head,M1b_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,11572,6128,236,11336,18,18,PASS,,any_withdrawal,,,,,,,,,,,,,risk_ratio,0.9139113382311748,0.2744191293703302,0.5337256550690787,1.564912471819243,0.7428779330707318,2317.0,59.0,2258.0,,,,,,,,,
elsa,incident_diabetes,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,11572,6128,236,11336,20,20,PASS,,prefrail,,,,,,,4369.0,103.0,4266.0,497.0,23.0,474.0,risk_ratio,1.2055614072593768,0.1502366740823159,0.8980647453571959,1.61834468415208,0.2133748138453939,2317.0,59.0,2258.0,,,,,,,,,
elsa,incident_diabetes,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,11572,6128,236,11336,20,20,PASS,,frail,,,,,,,4369.0,103.0,4266.0,497.0,23.0,474.0,risk_ratio,1.7864468168508425,0.2620831417670416,1.0688198648527656,2.985902802130399,0.0268349338955108,2317.0,59.0,2258.0,,,,,,,,,
elsa,incident_diabetes,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,11572,6128,236,11336,20,20,PASS,,any_withdrawal,,,,,,,4369.0,103.0,4266.0,497.0,23.0,474.0,risk_ratio,0.9180519934651364,0.2736452089627679,0.5369576743402459,1.569619921609043,0.7546963164305164,2317.0,59.0,2258.0,,,,,,,,,
elsa,incident_diabetes,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,11572,6128,236,11336,20,20,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,2165.0,50.0,2115.0,152.0,9.0,143.0,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,7595,4492,127,7468,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,frailty_head_to_head,nonfrail_withdrawal,PASS_BASELINE_FREE_RISK_SET,11075,5921,213,10862,19,19,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,1993.0,43.0,1950.0,138.0,7.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,frailty_head_to_head,nonfrail_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,11075,5921,213,10862,18,18,PASS,,any_withdrawal,,,,,,,,,,,,,risk_ratio,0.9889262531120284,0.2845096689432471,0.5662247347925491,1.7271854689507724,0.968779305728406,2131.0,50.0,2081.0,,,,,,,,,
